Haldimand-Norfolk Regional Municipality,3.5,3.3,2.6,2.6,2.2,2.2
Elgin County,3.7,1.4,2.8,2.6,2.1,2
Essex County,3.1,2.8,2.3,1.8,1.7,1.7
Lambton County,3.8,3.4,3.1,2.9,2.4,2.2
Wellington County,1.2,1.6,1.5,1.2,1.2,1.3
Waterloo County/ Regional Municipality,1.8,2.8,3.7,2.4,1.7,2.1
Perth County,2.1,3.2,3,2.8,2.4,2.5
Simcoe County,2.2,1.8,1.2,1.2,0.9,0.8
Peterborough County,1.6,1.5,1.2,0.9,0.8,0.8
York Regional Municipality,2.6,3.1,2.9,2.7,2.7,3.2
Stormont Dundas And Glengarry United Counties,2.2,2.3,3.4,3,3.3,5.2
Prescott And Russell United Counties,3.4,2.8,3.5,3.1,2.9,4.6
Leeds And Grenville United Counties,1,0.9,0.7,0.7,0.5,0.5
Lennox & Addington County,1.4,0.9,1.7,0.6,0.6,0.8
Nipissing County/ District,1.6,2.1,0.4,0.9,0.5,0.7