Ontario,149
Southern Ontario Region,227
Hamilton-Wentworth Regional Municipality,0
Hamilton Division,139
Niagara Regional Municipality,168
Haldimand-Norfolk Regional Municipality,231
Brant County,226
Oxford County,252
Elgin County,197
Chatham-Kent Division,292
Essex County,226
Lambton County,217
Middlesex County,247
Kent County,0
Western Ontario Region,156
Peel County/ Regional Municipality,58
Dufferin County,82
Wellington County,151
Halton County/ Regional Municipality,105
Waterloo County/ Regional Municipality,196
Perth County,312
Huron County,251
Bruce County,122
Grey County,51
Simcoe County,95
Central Ontario Region,66
Hastings County,29
Prince Edward County/ Division,50
Northumberland County,56
Peterborough County,30
Victoria County/Kawartha Lakes Division,42
Durham County/ Regional Municipality,90
York Regional Municipality,162
Toronto Metro Municipality,0
Muskoka County/ District Municipality,9
Haliburton County,3
Parry Sound County/ District,22
Eastern Ontario Region,79
Stormont Dundas And Glengarry United Counties,145
Prescott And Russell United Counties,96
Ottawa Division,123
Leeds And Grenville United Counties,45
Lanark County,47
Frontenac County,32
Lennox & Addington County,32
Renfrew County,34
Ottawa-Carleton Regional Municipality,0
Northern Ontario Region,31
Nipissing County/ District,22
Manitoulin County/ District,14
Sudbury County/ District,9
Sudbury Regional/Greater Sudbury Division,81
Timiskaming County/ District,64
Cochrane County/ District,29
Algoma County/ District,12
Thunder Bay County/ District,64
Rainy River County/ District,19
Kenora County/District,21