Hamilton-Wentworth Regional Municipality;5724;4898;0;0;0;0
Hamilton Division;0;0;5117;7609;9858;13428
Niagara Regional Municipality;6345;5427;6403;9106;11584;16265
Haldimand-Norfolk Regional Municipality;2097;2471;3260;4313;6068;10384
Brant County;2956;3158;3919;5845;7256;11695
Oxford County;2540;3299;5020;6962;10088;16520
Elgin County;1937;2479;3446;4361;5906;9728
Chatham-Kent Division;0;0;3635;4360;6652;10929
Essex County;2880;3577;4949;6851;8327;12911
Lambton County;1769;2312;3175;4157;6036;9749
Middlesex County;2446;2956;3945;5134;7447;12358
Kent County;2156;2941;0;0;0;0
Haldimand County;0;0;0;0;0;0
Norfolk County;0;0;0;0;0;0
Wentworth County;0;0;0;0;0;0
-
Dufferin County;3291;2364;2923;4735;6826;9440
Wellington County;3454;2907;3816;5786;8018;12376
Halton County/ Regional Municipality;11971;6425;9325;12096;18292;27306
Waterloo County/ Regional Municipality;4245;3850;4896;7068;9937;15328
Perth County;2233;2944;4599;6452;9399;16232
Huron County;1641;2248;3585;4350;6923;11485
Bruce County;1176;1353;1868;2987;4084;7858
Grey County;1530;1559;1832;3146;4398;7379
Simcoe County;4499;2720;3112;4952;7120;10116
-
Hastings County;1127;1099;1190;1764;2407;3976
Prince Edward County/ Division;1396;1527;1494;2450;3494;6080
Northumberland County;2346;2001;1950;2658;3505;5859
Peterborough County;1956;1696;1811;2687;3657;5071
Victoria County/Kawartha Lakes Division;1842;1463;1651;2468;3456;5223
Durham County/ Regional Municipality;5927;3994;4007;6212;8065;10805
York Regional Municipality;17054;8555;10770;12166;15034;18650
Toronto Metro Municipality;0;0;0;0;0;15586
Muskoka County/ District Municipality;1496;1713;1453;2142;3705;4879
Haliburton County;1496;1488;1120;1866;2409;2791
Parry Sound County/ District;753;952;925;1266;2017;2079
-
Stormont, Dundas And Glengarry United Counties;1228;1627;2114;2984;4550;8710
Prescott And Russell United Counties;1314;1750;2228;2902;4840;8653
Ottawa Division;0;0;2656;3435;5850;9222
Leeds And Grenville United Counties;1123;1274;1341;1923;2597;3817
Lanark County;929;1187;1222;1956;2618;3615
Frontenac County;1165;1204;1156;1783;2107;3145
Lennox & Addington County;1090;1122;1114;1876;2211;3488
Renfrew County;673;855;889;1308;1843;3162
Ottawa-Carleton Regional Municipality;2582;2416;0;0;0;0
Leeds County;0;0;0;0;0;0
Grenville County;0;0;0;0;0;0
Prescott County;0;0;0;0;0;0
Russell County;0;0;0;0;0;0
Stormont County;0;0;0;0;0;0
Dundas County;0;0;0;0;0;0
Glengarry County;0;0;0;0;0;0
Ontario County;0;0;0;0;0;0
-
Nipissing County/ District;682;806;823;987;1224;2054
Manitoulin County/ District;398;507;504;670;913;1263
Sudbury County/ District;492;628;640;850;1118;1626
Sudbury Regional/Greater Sudbury Division;1234;1535;1423;2402;3462;5650
Timiskaming County/ District;550;701;699;1029;1813;2348
Cochrane County/ District;513;630;594;889;912;1670
Algoma County/ District;752;975;916;1073;1406;1885
Thunder Bay County/ District;1227;1496;1427;1628;1824;2810
Rainy River County/ District;350;459;431;615;900;1038
Kenora County/District;533;855;810;982;1161;1627