Ontario,72
Southern Ontario Region,123
Hamilton-Wentworth Regional Municipality,0
Hamilton Division,72
Niagara Regional Municipality,128
Haldimand-Norfolk Regional Municipality,114
Brant County,113
Oxford County,152
Elgin County,115
Chatham-Kent Division,157
Essex County,125
Lambton County,120
Middlesex County,112
Kent County,0
Western Ontario Region,74
Peel County/ Regional Municipality,31
Dufferin County,43
Wellington County,62
Halton County/ Regional Municipality,42
Waterloo County/ Regional Municipality,112
Perth County,159
Huron County,121
Bruce County,55
Grey County,20
Simcoe County,54
Central Ontario Region,32
Hastings County,14
Prince Edward County/ Division,25
Northumberland County,28
Peterborough County,16
Victoria County/Kawartha Lakes Division,22
Durham County/ Regional Municipality,46
York Regional Municipality,71
Toronto Metro Municipality,0
Muskoka County/ District Municipality,7
Haliburton County,5
Parry Sound County/ District,9
Eastern Ontario Region,30
Stormont Dundas And Glengarry United Counties,56
Prescott And Russell United Counties,40
Ottawa Division,45
Leeds And Grenville United Counties,21
Lanark County,12
Frontenac County,12
Lennox & Addington County,12
Renfrew County,18
Ottawa-Carleton Regional Municipality,0
Northern Ontario Region,10
Nipissing County/ District,12
Manitoulin County/ District,4
Sudbury County/ District,14
Sudbury Regional/Greater Sudbury Division,30
Timiskaming County/ District,23
Cochrane County/ District,4
Algoma County/ District,8
Thunder Bay County/ District,17
Rainy River County/ District,7
Kenora County/District,3