Ontario,15
Southern Ontario Region,18
Hamilton-Wentworth Regional Municipality,9
Hamilton Division,0
Niagara Regional Municipality,-3
Haldimand-Norfolk Regional Municipality,12
Brant County,22
Oxford County,21
Elgin County,-50
Chatham-Kent Division,0
Essex County,14
Lambton County,17
Middlesex County,17
Kent County,22
Western Ontario Region,18
Peel County/ Regional Municipality,0
Dufferin County,12
Wellington County,12
Halton County/ Regional Municipality,4
Waterloo County/ Regional Municipality,11
Perth County,30
Huron County,30
Bruce County,18
Grey County,1
Simcoe County,10
Central Ontario Region,2
Hastings County,-39
Prince Edward County/ Division,-7
Northumberland County,26
Peterborough County,-8
Victoria County/Kawartha Lakes Division,-7
Durham County/ Regional Municipality,0
York Regional Municipality,1
Toronto Metro Municipality,0
Muskoka County/ District Municipality,-55
Haliburton County,-64
Parry Sound County/ District,133
Eastern Ontario Region,-3
Stormont Dundas And Glengarry United Counties,5
Prescott And Russell United Counties,3
Ottawa Division,0
Leeds And Grenville United Counties,19
Lanark County,0
Frontenac County,-5
Lennox & Addington County,-24
Renfrew County,4
Ottawa-Carleton Regional Municipality,-13
Northern Ontario Region,-3
Nipissing County/ District,61
Manitoulin County/ District,-27
Sudbury County/ District,0
Sudbury Regional/Greater Sudbury Division,0
Timiskaming County/ District,16
Cochrane County/ District,2
Algoma County/ District,40
Thunder Bay County/ District,55
Rainy River County/ District,-71
Kenora County/District,31